date,open,close,high,low,volume
2014-09-01,5.95,6.02,6.04,5.93,29701.85
2014-09-02,6.03,6.04,6.07,5.97,56888.05
2014-09-03,6.05,6.08,6.12,6.04,46188.01
2014-09-04,6.1,6.1,6.12,6.05,36127.79
2014-09-05,6.11,6.11,6.13,6.08,30788.2
2014-09-09,6.11,6.12,6.16,6.11,42586.28
2014-09-10,6.11,6.16,6.18,6.07,55960.29
2014-09-11,6.16,6.17,6.25,6.12,64211.84
2014-09-12,6.19,6.42,6.45,6.17,120003.52
2014-09-15,6.45,6.45,6.55,6.34,82303.93
2014-09-16,6.5,6.18,6.51,6.15,109437.92
2014-09-17,6.18,6.28,6.29,6.11,40245.3
2014-09-18,6.28,6.3,6.33,6.21,32722.61
2014-09-19,6.28,6.37,6.38,6.28,47886.29
2014-09-22,6.38,6.26,6.42,6.15,80465.32
2014-09-23,6.17,6.26,6.26,6.15,53444.09
2014-09-24,6.24,6.3,6.3,6.22,56076.54
2014-09-25,6.29,6.24,6.35,6.23,44801.29
2014-09-26,6.21,6.31,6.31,6.18,47105.14
2014-09-29,6.33,6.36,6.36,6.3,45215.38
2014-09-30,6.38,6.51,6.54,6.35,71888.77
2014-10-08,6.61,6.69,6.86,6.61,114957.86
2014-10-09,6.67,6.73,6.76,6.57,85360.96
2014-10-10,6.73,6.77,6.91,6.6,72120.61
2014-10-13,6.73,7.04,7.17,6.7,89493.29
2014-10-14,7.11,6.95,7.19,6.92,85659.3
2014-10-15,7.04,7.07,7.18,6.96,72485.16
2014-10-16,7.03,6.94,7.23,6.94,63918.11
2014-10-17,6.9,6.78,6.99,6.61,63881.33
2014-10-20,6.81,7.01,7.09,6.81,48286.68
2014-10-21,7.08,6.92,7.08,6.89,37559.42
2014-10-22,6.92,6.71,6.98,6.7,41920.83
2014-10-23,6.69,6.59,6.76,6.57,30661.13
2014-10-24,6.59,6.7,6.75,6.59,29805.82
2014-10-27,6.69,6.82,7.03,6.59,52658.47
2014-10-28,6.95,7.18,7.25,6.87,95500.51
2014-10-29,7.48,7.17,7.49,7.12,112395.98
2014-10-30,7.18,7.2,7.33,7.08,76804.5
2014-10-31,7.22,7.18,7.25,7.1,50127.9
2014-11-03,7.2,7.32,7.35,7.2,72851.57
2014-11-04,7.31,7.18,7.31,7.16,50358.68
2014-11-05,7.2,7.17,7.29,7.16,36859.25
2014-11-06,7.16,7.23,7.25,7.11,38320.43
2014-11-07,7.23,7.17,7.46,7.16,79877.33
2014-11-10,7.2,7.53,7.58,7.2,128605.24
2014-11-11,7.52,7.35,7.6,7.26,94516.12
2014-11-12,7.38,7.57,7.57,7.32,56260.41
2014-11-13,7.6,7.67,7.74,7.46,77376.36
2014-11-14,7.59,7.61,7.7,7.46,53635.57
2014-11-17,7.66,7.57,7.7,7.52,39406.34
2014-11-18,7.82,7.76,8.17,7.72,120852.83
2014-11-19,7.76,7.76,7.85,7.57,57803.31
2014-11-20,7.66,7.66,7.79,7.65,34121.9
2014-11-21,7.55,7.69,7.74,7.55,34175.52
2014-11-24,7.77,7.86,7.97,7.71,66363.18
2014-11-25,7.83,8.13,8.19,7.78,88882.13
2014-11-26,8.15,8.07,8.19,7.96,63485.25
2014-11-27,8.05,8.05,8.13,7.97,47591.33
2014-11-28,8.09,8.29,8.3,8.04,86127.83
2014-12-01,8.38,8.43,8.54,8.08,125759.7
2014-12-02,8.43,8.48,8.5,8.3,55346.67
2014-12-03,8.5,8.49,8.68,8.38,68407.01
2014-12-04,8.48,8.62,8.66,8.43,62288.69
2014-12-05,8.65,8.31,8.68,8.0,75541.19
2014-12-08,8.28,8.21,8.39,8.0,64831.36
2014-12-09,8.28,8.06,8.64,8.01,120107.89
2014-12-10,8.03,8.3,8.34,8.02,57761.38
2014-12-11,8.31,8.51,8.52,8.3,67221.79
2014-12-12,8.53,8.9,8.95,8.44,126305.96
2014-12-15,8.83,9.19,9.25,8.58,94854.2
2014-12-16,9.14,9.18,9.32,9.06,66582.41
2014-12-17,9.18,9.24,9.31,9.0,55420.58
2014-12-18,9.26,9.19,9.32,9.05,61233.1
2014-12-19,9.2,9.26,9.32,9.05,80464.43
2014-12-22,9.28,8.89,9.3,8.33,102840.57
2014-12-23,8.79,8.9,9.04,8.6,39749.83
2014-12-24,8.89,9.12,9.19,8.82,59961.78
2014-12-25,9.2,9.7,9.8,9.1,191415.74
2014-12-26,9.65,9.71,9.89,9.41,105862.41
2014-12-29,9.79,9.64,9.95,9.47,129288.66
2014-12-30,9.64,9.4,9.84,9.3,234137.04
2014-12-31,9.25,9.04,9.68,8.48,206561.63
2015-01-05,8.94,8.98,9.03,8.6,126028.3
2015-01-06,8.88,8.85,8.89,8.57,153212.79
2015-01-07,8.82,8.78,8.86,8.62,96067.47
2015-01-08,8.78,8.82,8.93,8.71,85929.97
2015-01-09,8.86,8.97,9.21,8.8,106292.7
2015-01-12,8.8,8.51,8.93,8.38,83648.02
2015-01-13,8.41,8.4,8.64,8.36,76534.29
2015-01-14,8.4,7.96,8.41,7.91,115474.48
2015-01-15,7.93,8.08,8.29,7.93,58561.14
2015-01-16,8.08,8.16,8.24,7.96,91119.97
2015-01-19,8.04,7.6,8.04,7.43,107514.0
2015-01-20,7.61,7.77,7.81,7.61,73831.88
2015-01-21,7.88,8.18,8.28,7.78,141866.63
2015-01-22,8.17,8.09,8.17,8.01,121377.88
2015-01-23,8.07,7.91,8.16,7.9,137094.92
2015-01-26,7.96,8.09,8.09,7.87,85001.05
2015-01-27,8.09,8.22,8.25,8.08,143549.58
2015-01-28,8.18,8.1,8.19,8.08,91264.96
2015-01-29,8.07,8.16,8.23,8.04,85108.84
2015-01-30,8.2,8.09,8.26,8.05,57052.47
2015-02-02,8.08,7.88,8.08,7.84,59065.22
2015-02-03,7.92,7.9,7.95,7.76,63814.34
2015-02-04,7.9,7.69,7.92,7.68,82797.37
2015-02-05,7.77,7.6,7.84,7.58,77642.63
2015-02-06,7.68,7.32,7.68,7.26,90707.7
2015-02-09,7.28,7.34,7.34,7.2,59806.8
2015-02-10,7.34,7.4,7.4,7.32,31569.26
2015-02-11,7.44,7.38,7.45,7.32,50191.01
2015-02-12,7.41,7.49,7.53,7.36,51855.57
2015-02-13,7.54,7.81,7.84,7.5,106197.76
2015-02-16,7.81,7.86,7.95,7.81,72274.61
2015-02-17,7.87,7.84,7.92,7.73,50221.92
2015-02-25,7.84,7.86,7.9,7.81,50077.78
2015-02-26,7.85,8.01,8.04,7.82,88390.7
2015-02-27,8.03,8.01,8.07,7.95,74879.52
2015-03-02,8.06,8.17,8.17,8.02,90787.12
2015-03-03,8.15,8.0,8.15,7.98,82995.91
2015-03-04,8.0,8.03,8.04,7.9,75415.72
2015-03-05,8.03,7.98,8.03,7.93,49266.79
2015-03-06,8.0,7.99,8.08,7.92,51107.32
2015-03-09,7.98,8.04,8.04,7.88,50770.83
2015-03-10,8.03,8.12,8.16,8.0,82604.29
2015-03-11,8.14,8.06,8.18,8.02,59726.55
2015-03-12,8.09,8.05,8.09,8.02,52258.03
2015-03-13,8.07,8.15,8.15,8.03,66663.86
2015-03-16,8.19,8.37,8.4,8.19,166022.59
2015-03-17,8.41,8.57,8.8,8.41,187456.07
2015-03-18,8.67,8.83,8.83,8.57,183978.82
2015-03-19,8.86,8.9,8.97,8.75,183360.05
2015-03-20,9.0,8.94,9.15,8.92,143053.15
2015-03-23,8.94,9.15,9.19,8.94,137997.47
2015-03-24,9.15,8.99,9.19,8.69,166860.13
2015-03-25,8.98,8.86,8.99,8.76,156369.46
2015-03-26,8.82,8.93,8.99,8.76,120469.36
2015-03-27,8.95,9.29,9.43,8.9,182995.48
2015-03-30,9.42,9.8,9.92,9.41,290225.63
2015-03-31,9.94,9.78,10.16,9.63,238371.97
2015-04-01,9.7,9.89,10.08,9.66,178792.65
2015-04-02,9.91,9.97,9.99,9.8,147376.05
2015-04-03,9.93,10.27,10.28,9.81,194520.92
2015-04-07,10.3,10.38,10.86,10.3,219602.47
2015-04-08,10.42,10.43,10.68,10.3,188835.25
2015-04-09,10.45,10.18,10.55,9.87,193893.46
2015-04-10,10.08,10.4,10.42,10.01,128865.28
2015-04-13,10.42,10.6,10.67,10.3,170554.11
2015-04-14,10.4,10.23,10.4,10.12,244868.9
2015-04-15,10.2,9.7,10.2,9.69,166163.87
2015-04-16,9.5,9.61,9.8,9.4,125376.32
2015-04-17,9.68,9.82,10.0,9.65,180847.43
2015-04-20,9.8,9.85,10.15,9.63,205555.49
2015-04-21,10.0,10.07,10.08,9.8,142615.66
2015-04-22,10.1,10.35,10.35,10.1,192877.23
2015-04-23,10.46,10.3,10.57,10.16,182509.55
2015-04-24,10.12,9.93,10.12,9.8,182100.2
2015-04-27,9.9,9.97,10.08,9.84,148764.2
2015-04-28,10.0,9.82,10.13,9.77,129899.2
2015-04-29,9.81,9.84,9.87,9.61,77689.02
2015-04-30,9.84,9.78,9.95,9.76,96050.79
2015-05-04,9.78,9.95,10.0,9.77,89901.47
2015-05-05,9.95,9.42,9.98,9.41,85656.92
2015-05-06,9.42,8.97,9.59,8.91,76981.28
2015-05-07,8.99,8.9,9.17,8.89,66951.54
2015-05-08,9.03,9.19,9.2,8.96,64161.57
2015-05-11,9.28,9.48,9.48,9.23,80261.85
2015-05-12,9.51,9.44,9.63,9.38,89340.35
2015-05-13,9.42,9.47,9.53,9.32,86298.96
2015-05-14,9.47,9.51,9.58,9.36,79057.21
2015-05-15,9.5,9.3,9.5,9.16,71072.31
2015-05-18,9.23,9.67,9.98,9.15,130950.08
2015-05-19,9.67,10.1,10.1,9.57,213479.43
2015-05-20,10.16,9.96,10.44,9.85,237736.21
2015-05-21,10.0,10.13,10.15,9.83,150750.72
2015-05-22,10.26,10.33,10.39,10.17,206326.6
2015-05-25,10.37,11.01,11.25,10.36,283240.7
2015-05-26,11.02,11.22,11.48,10.86,264023.87
2015-05-27,11.23,11.14,11.24,10.84,192159.3
2015-05-28,11.1,10.6,11.54,10.59,274141.3
2015-05-29,10.46,10.28,10.79,9.78,173596.26
2015-06-01,10.37,10.95,11.05,10.23,154530.77
2015-06-02,11.07,12.05,12.05,11.03,290781.03
2015-09-29,10.8,10.8,10.8,10.8,1785.0
2015-09-30,9.72,9.72,9.72,9.72,1118.0
2015-10-08,8.75,8.75,8.75,8.75,28344.0
2015-10-09,7.88,7.91,8.17,7.88,561696.23
2015-10-12,7.58,8.06,8.15,7.55,400166.36
2015-10-13,7.95,8.04,8.14,7.88,198588.07
2015-10-14,8.04,8.04,8.12,7.96,168935.95
2015-10-15,8.0,8.13,8.14,7.96,212237.91
2015-10-16,8.1,8.05,8.19,7.96,204685.49
2015-10-19,8.06,8.49,8.62,7.98,281775.01
2015-10-20,8.36,8.34,8.49,8.0,237261.94
2015-10-21,8.32,7.6,8.34,7.58,229886.57
2015-10-22,7.6,7.79,7.84,7.55,146611.39
2015-10-23,7.81,7.82,7.88,7.65,169517.96
2015-10-26,7.94,8.01,8.09,7.81,152119.23
2015-10-27,7.97,8.01,8.07,7.66,138483.5
2015-10-28,7.99,7.95,8.21,7.92,174644.1
2015-10-29,7.98,7.96,8.05,7.9,88009.7
2015-10-30,7.92,7.85,7.99,7.78,81901.13
2015-11-02,7.78,7.74,7.92,7.71,68641.32
2015-11-03,7.76,7.66,7.83,7.66,55730.69
2015-11-04,7.73,7.92,7.95,7.68,104160.01
2015-11-05,7.93,7.97,8.04,7.89,134642.6
2015-11-06,8.0,8.04,8.06,7.96,121012.76
2015-11-09,8.0,8.48,8.58,7.95,250595.9
2015-11-10,8.3,8.78,9.24,8.21,262585.21
2015-11-11,8.63,8.63,8.85,8.58,140266.49
2015-11-12,8.64,8.63,8.83,8.53,154717.76
2015-11-13,8.51,8.25,8.64,8.25,114486.24
2015-11-16,8.08,8.34,8.36,8.07,66959.22
2015-12-08,8.56,9.17,9.17,8.42,348849.52
2015-12-09,8.96,8.7,9.07,8.65,211743.34
2015-12-10,8.65,8.59,9.02,8.59,108434.96
2015-12-11,8.61,8.32,8.75,8.18,98539.86
2015-12-14,8.22,8.5,8.53,8.21,80182.32
2015-12-15,8.52,8.41,8.59,8.38,79483.07
2015-12-16,8.46,8.63,8.7,8.43,101708.85
2015-12-17,8.57,8.82,8.9,8.57,116249.04
2015-12-18,8.83,8.61,8.86,8.57,94537.81
2015-12-21,8.7,8.85,8.88,8.63,90171.39
2015-12-22,8.88,9.08,9.49,8.83,148537.68
2015-12-23,9.03,8.75,9.17,8.7,165173.08
2015-12-24,8.7,8.48,8.79,8.32,133803.9
2015-12-25,8.48,8.6,8.7,8.48,84693.42
2015-12-28,8.7,8.38,8.77,8.36,87083.46
2015-12-29,8.36,8.44,8.45,8.27,57787.78
2015-12-30,8.48,8.64,8.64,8.43,67631.13
2015-12-31,8.61,8.5,8.69,8.43,58137.35
2016-01-04,8.53,7.69,8.54,7.68,66452.47
2016-01-05,7.33,7.78,7.9,7.33,94170.6
2016-01-06,7.7,7.95,8.01,7.68,53331.57
2016-01-07,7.83,7.16,7.83,7.16,15849.0
2016-01-08,7.34,7.27,7.51,6.66,55348.38
2016-01-11,7.15,6.76,7.35,6.71,54000.9
2016-01-12,6.81,6.98,7.07,6.62,60456.22
2016-01-13,7.15,6.95,7.26,6.89,38831.92
2016-01-14,6.8,7.18,7.22,6.7,32360.9
2016-01-15,7.18,6.95,7.26,6.83,58401.09
2016-01-18,6.85,6.95,7.05,6.8,33551.17
2016-01-19,6.95,7.16,7.2,6.88,49498.02
2016-01-20,7.14,7.07,7.33,6.99,40593.6
2016-01-21,6.95,6.8,7.14,6.8,38815.93
2016-01-22,6.9,6.8,6.94,6.63,27517.64
2016-01-25,6.9,6.87,7.0,6.8,35709.5
2016-01-26,6.8,6.27,6.84,6.18,64473.27
2016-01-27,6.25,6.18,6.37,5.95,34453.59
2016-01-28,6.15,5.6,6.18,5.56,39976.56
2016-01-29,5.54,5.82,5.93,5.5,47782.25
2016-02-01,5.9,5.77,5.91,5.5,33825.49
2016-02-02,5.73,5.9,5.95,5.63,28472.72
2016-02-03,5.84,5.82,5.86,5.65,28329.94
2016-02-04,5.84,5.95,6.08,5.8,44993.72
2016-02-05,5.97,5.87,6.0,5.86,28264.14
2016-02-15,5.59,5.86,5.87,5.52,21236.92
2016-02-16,5.86,6.06,6.08,5.86,57830.61
2016-02-17,6.06,6.13,6.16,6.03,46952.36
2016-02-18,6.14,6.24,6.24,6.13,47653.09
2016-02-19,6.27,6.32,6.32,6.06,57775.5
2016-02-22,6.32,6.5,6.55,6.3,65319.3
2016-02-23,6.42,6.46,6.49,6.33,36318.88
2016-02-24,6.46,6.54,6.73,6.38,66924.05
2016-02-25,6.48,5.89,6.53,5.89,80257.82
2016-02-26,5.92,5.88,6.04,5.7,64164.41
2016-02-29,5.88,5.47,5.94,5.33,60202.48
2016-03-01,5.48,5.6,5.63,5.33,51750.14
2016-03-02,5.59,6.16,6.16,5.55,124804.38
2016-03-03,6.3,6.25,6.51,6.23,167682.03
2016-03-04,6.2,6.59,6.72,6.1,210250.61
2016-03-07,6.5,6.6,6.94,6.35,173651.15
2016-03-08,6.6,6.44,6.6,6.1,96046.76
2016-03-09,6.15,6.1,6.26,6.09,67351.3
2016-03-10,6.1,5.83,6.17,5.81,60210.0
2016-03-11,5.8,5.66,5.8,5.56,87461.53
