date,open,close,high,low,volume
2017-01-09,19.66,20.24,20.3,19.45,243198.84
2017-01-10,20.14,19.9,20.3,19.88,168387.09
2017-01-11,19.83,19.94,20.22,19.71,182187.84
2017-01-12,19.86,19.55,19.98,19.46,191060.88
2017-01-13,19.5,18.79,19.65,18.71,168678.56
2017-01-16,18.68,17.81,18.77,16.97,203522.31
2017-01-17,17.79,18.03,18.13,17.33,115291.05
2017-01-18,17.88,18.57,19.5,17.77,193729.8
2017-01-19,18.41,18.41,18.81,18.31,105783.86
2017-01-20,18.34,18.59,18.84,18.33,90713.76
2017-01-23,18.73,18.7,19.09,18.61,93964.28
2017-01-24,18.7,18.4,18.74,18.35,67585.66
2017-01-25,18.39,18.42,18.55,18.33,52202.1
2017-01-26,18.44,18.61,18.66,18.44,66549.27
2017-02-02,18.61,17.99,18.83,17.99,21.0
2017-02-03,18.64,18.8,18.98,18.63,85672.89
2017-02-06,18.78,18.85,18.95,18.66,83860.95
2017-02-07,18.87,18.62,18.88,18.59,68675.9
2017-02-08,18.62,18.72,18.76,18.52,69625.49
2017-02-09,18.74,18.89,18.94,18.72,95749.94
2017-02-10,18.91,18.68,18.94,18.66,88080.46
2017-02-13,18.7,18.7,18.76,18.51,82232.77
2017-02-14,18.73,18.7,19.0,18.68,100778.16
2017-02-15,18.7,18.23,18.7,18.14,143178.5
2017-02-16,18.19,18.27,18.3,18.11,91357.1
2017-02-17,18.2,18.08,18.3,18.05,94897.76
2017-02-20,18.06,18.13,18.15,17.85,98564.78
2017-02-21,18.14,18.47,18.57,18.08,116767.61
2017-02-22,18.59,18.53,18.68,18.46,94296.06
2017-02-23,18.55,18.6,18.66,18.46,99209.15
2017-02-24,18.61,18.9,18.94,18.52,163935.25
2017-02-27,18.9,18.67,18.94,18.62,103495.35
2017-02-28,18.69,18.72,18.83,18.57,72086.83
2017-03-01,18.75,18.72,18.92,18.7,100596.63
2017-03-02,18.73,18.5,18.8,18.5,80458.09
2017-03-03,18.46,18.81,18.88,18.22,144946.69
2017-03-06,18.83,19.38,19.45,18.75,274078.38
2017-03-07,19.38,20.15,20.34,19.19,425716.16
2017-03-08,20.1,19.78,20.22,19.69,242510.16
2017-03-09,19.72,19.78,19.99,19.63,163415.09
2017-03-10,19.94,19.45,20.06,19.41,153553.66
2017-03-13,19.52,20.0,20.15,19.25,233964.88
2017-03-14,20.9,20.08,21.4,20.07,394190.38
2017-03-15,20.1,20.27,20.6,19.8,261760.52
2017-03-16,20.47,20.59,20.77,20.31,250247.05
2017-03-17,20.5,20.33,20.81,20.31,251761.77
2017-03-20,20.35,20.05,20.35,19.88,164348.55
2017-03-21,20.05,20.44,20.6,19.91,183554.08
2017-03-22,20.3,20.16,20.45,20.03,125054.58
2017-03-23,20.14,19.96,20.21,19.7,133907.19
2017-03-24,20.05,20.11,20.27,19.94,112805.37
2017-03-27,20.14,19.92,20.17,19.81,98840.62
2017-03-28,19.92,19.61,19.96,19.61,100437.82
2017-03-29,19.79,19.79,20.09,19.71,138358.67
2017-03-30,19.7,19.52,19.97,19.45,140465.81
2017-03-31,19.57,20.09,20.4,19.57,248078.31
2017-04-05,20.4,20.53,20.75,20.17,246432.98
2017-04-06,20.58,20.75,20.98,20.42,255283.36
2017-04-07,20.55,20.48,20.67,20.35,159451.45
2017-04-10,20.47,20.65,20.94,20.21,216152.31
2017-04-11,20.44,20.93,20.95,20.0,340721.53
2017-04-12,20.85,20.25,20.86,20.23,184201.48
