trade_date,open,close,high,low,vol
20140901,5.52,5.55,5.59,5.5,547031.48
20140902,5.55,5.57,5.58,5.49,707659.59
20140903,5.58,5.69,5.72,5.55,1091356.28
20140904,5.69,5.69,5.72,5.63,908697.04
20140905,5.7,5.74,5.76,5.67,962805.5
20140909,5.74,5.7,5.75,5.67,618805.38
20140910,5.67,5.63,5.69,5.56,909809.95
20140911,5.61,5.6,5.68,5.58,732557.78
20140912,5.6,5.64,5.66,5.51,738769.64
20140915,5.73,5.6,5.74,5.55,2764453.72
20140916,5.57,5.45,5.57,5.43,1851645.06
20140917,5.45,5.43,5.45,5.38,896228.02
20140918,5.41,5.42,5.46,5.38,811512.18
20140919,5.43,5.44,5.44,5.38,653075.89
20140922,5.42,5.33,5.42,5.29,1187758.35
20140923,5.31,5.34,5.35,5.27,737942.47
20140924,5.26,5.32,5.33,5.22,921102.12
20140925,5.33,5.33,5.37,5.32,973833.14
20140926,5.32,5.31,5.33,5.28,520454.95
20140929,5.31,5.31,5.35,5.28,804113.98
20140930,5.32,5.3,5.32,5.27,799932.36
20141008,5.31,5.29,5.32,5.22,1058675.74
20141009,5.29,5.31,5.34,5.27,1085299.5
20141010,5.29,5.27,5.32,5.26,755116.98
20141013,5.25,5.19,5.26,5.16,1064903.19
20141014,5.2,5.2,5.24,5.18,585895.11
20141015,5.19,5.2,5.21,5.16,678142.89
20141016,5.17,5.19,5.24,5.16,788692.43
20141017,5.19,5.15,5.19,5.12,791559.89
20141020,5.15,5.16,5.17,5.14,487101.95
20141021,5.16,5.12,5.17,5.11,521840.22
20141022,5.13,5.12,5.15,5.11,504815.7
20141023,5.11,5.07,5.12,5.05,687284.49
20141024,5.07,5.05,5.09,5.04,399925.33
20141027,5.04,5.02,5.04,4.99,560859.79
20141028,5.02,5.09,5.09,5.01,670677.86
20141029,5.09,5.15,5.16,5.06,935210.58
20141030,5.13,5.18,5.22,5.11,1365339.08
20141031,5.17,5.27,5.29,5.16,2060477.76
20141103,5.27,5.25,5.27,5.23,1177365.97
20141104,5.22,5.22,5.25,5.18,1107530.63
20141105,5.22,5.17,5.23,5.16,883704.31
20141106,5.18,5.16,5.2,5.15,745262.63
20141107,5.16,5.16,5.21,5.12,1105407.15
20141110,5.17,5.26,5.26,5.14,1627563.38
20141111,5.26,5.33,5.43,5.24,3547915.14
20141112,5.28,5.29,5.3,5.23,1521837.74
20141113,5.29,5.31,5.36,5.27,1724829.57
20141114,5.3,5.24,5.3,5.21,1113630.74
20141117,5.25,5.2,5.27,5.19,971323.48
20141118,5.18,5.11,5.19,5.09,1130392.58
20141119,5.09,5.08,5.11,5.06,728004.94
20141120,5.07,5.09,5.1,5.06,551896.68
20141121,5.1,5.12,5.12,5.06,864864.14
20141124,5.15,5.17,5.2,5.12,1529596.69
20141125,5.16,5.19,5.2,5.13,1419939.43
20141126,5.17,5.27,5.28,5.16,2711220.0
20141127,5.29,5.28,5.33,5.22,2151907.52
20141128,5.23,5.39,5.42,5.21,4444204.22
20141201,5.41,5.41,5.57,5.37,4548349.85
20141202,5.41,5.63,5.65,5.34,5027651.12
20141203,5.69,5.68,5.91,5.54,5861570.5
20141204,5.7,6.25,6.25,5.58,8482078.74
20141205,6.22,6.56,6.78,6.0,14712204.69
20141208,6.3,6.43,6.58,6.15,11553718.92
20141209,6.28,5.9,6.48,5.79,12313889.29
20141210,5.85,5.88,5.95,5.66,5649937.78
20141211,5.79,5.76,5.82,5.68,4619443.81
20141212,5.75,5.76,5.84,5.72,3585465.62
20141215,5.75,5.75,5.76,5.65,3089602.06
20141216,5.73,5.9,5.9,5.7,5228740.83
20141217,5.91,6.01,6.07,5.82,6297540.87
20141218,6.05,5.98,6.13,5.94,4852573.28
20141219,5.94,6.22,6.33,5.85,7201917.45
20141222,6.28,6.35,6.66,6.25,10334227.31
20141223,6.27,6.03,6.31,6.01,4932332.25
20141224,6.06,5.86,6.1,5.8,4470068.94
20141225,5.88,6.0,6.01,5.84,3906649.08
20141226,6.0,6.17,6.19,5.95,5150901.07
20141229,6.38,6.25,6.5,6.19,7346132.45
20141230,6.24,6.26,6.35,6.15,4273919.88
20141231,6.29,6.49,6.51,6.22,6960076.03
20150105,6.59,7.14,7.14,6.45,11864996.45
20150106,7.18,7.0,7.22,6.81,10899984.33
20150107,6.91,7.18,7.26,6.76,7873153.01
20150108,7.09,6.85,7.41,6.83,8190902.35
20150109,6.78,6.73,7.03,6.64,6032037.47
20150112,6.64,6.57,6.73,6.52,3421069.01
20150113,6.56,6.58,6.73,6.5,2910149.0
20150114,6.58,6.58,6.66,6.51,2445875.49
20150115,6.63,6.9,6.95,6.56,4338809.37
20150116,6.85,6.93,7.04,6.83,4936141.9
20150119,6.53,6.24,6.74,6.24,5886693.82
20150120,6.27,6.32,6.44,6.19,4058357.83
20150121,6.31,6.6,6.7,6.24,5068504.77
20150122,6.58,6.58,6.64,6.52,3272859.07
20150123,6.6,6.6,6.82,6.55,4285268.96
20150126,6.58,6.67,6.7,6.52,2819307.74
20150127,6.67,6.48,6.72,6.38,3945450.28
20150128,6.43,6.34,6.46,6.31,3071683.22
20150129,6.2,6.16,6.21,6.05,6047625.91
20150130,6.14,6.03,6.17,6.02,5024456.38
20150202,5.98,5.87,6.0,5.85,4414511.16
20150203,5.93,6.01,6.02,5.88,5198161.88
20150204,6.03,5.92,6.11,5.91,4812302.39
20150205,6.03,5.83,6.03,5.82,4214059.9
20150206,5.81,5.69,5.82,5.65,4647273.77
20150209,5.62,5.68,5.72,5.55,4570073.65
20150210,5.63,5.74,5.75,5.61,4990621.83
20150211,5.74,5.7,5.74,5.67,3331823.12
20150212,5.7,5.83,5.86,5.64,4540962.97
20150213,5.85,5.84,5.92,5.82,4150210.06
20150216,5.85,5.87,5.89,5.81,2394641.65
20150217,5.88,5.89,5.92,5.87,2484518.78
20150225,6.06,6.09,6.19,6.02,9197704.06
20150226,6.06,6.13,6.14,5.98,4941220.88
20150227,6.1,6.32,6.4,6.08,7714797.18
20150302,6.28,6.26,6.28,6.18,5304923.32
20150303,6.21,6.03,6.22,6.01,4836445.0
20150304,6.03,6.08,6.14,5.97,3890032.93
20150305,6.01,5.95,6.05,5.9,4048355.82
20150306,5.94,5.96,6.02,5.92,2320079.73
20150309,6.0,6.11,6.12,5.95,4568494.43
20150310,6.1,6.04,6.1,6.02,2783275.26
20150311,6.03,6.06,6.15,6.01,3173621.14
20150312,6.08,6.16,6.2,6.03,4924284.26
20150313,6.17,6.17,6.27,6.14,4621382.34
20150316,6.18,6.24,6.24,6.13,5126704.8
20150317,6.26,6.34,6.35,6.22,8017115.0
20150318,6.34,6.42,6.43,6.28,7427497.56
20150319,6.41,6.42,6.54,6.36,6895766.56
20150320,6.4,6.41,6.48,6.34,6949045.39
20150323,6.36,6.43,6.44,6.31,10151705.19
20150324,6.45,6.37,6.47,6.27,8154993.38
20150325,6.36,6.26,6.37,6.23,5463375.74
20150326,6.25,6.44,6.46,6.2,9729915.15
20150327,6.46,6.37,6.48,6.34,5088544.81
20150330,6.35,6.49,6.51,6.34,8583803.04
20150331,6.52,6.41,6.58,6.4,8285875.97
20150401,6.38,6.47,6.5,6.37,5905702.9
20150402,6.52,6.48,6.56,6.42,6713760.76
20150403,6.43,6.45,6.46,6.39,5365712.97
20150407,6.49,6.66,6.68,6.47,10631391.13
20150408,6.69,6.74,6.79,6.55,11558115.44
20150409,6.68,6.67,6.78,6.55,8524739.63
20150410,6.66,6.71,6.73,6.63,6670608.6
20150413,6.74,6.82,6.85,6.71,8347083.72
20150414,6.8,6.74,6.8,6.69,6493716.77
20150415,6.76,6.78,6.94,6.65,8767343.79
20150416,6.8,7.02,7.1,6.76,11128889.59
20150417,7.21,7.34,7.48,7.11,16167983.3
20150420,7.26,7.14,7.48,7.1,13807772.94
20150421,7.17,7.27,7.34,7.11,6889479.73
20150422,7.3,7.45,7.48,7.24,8892442.53
20150423,7.48,7.58,7.76,7.4,10504620.52
20150424,7.46,7.78,8.11,7.41,13001145.22
20150427,8.05,8.56,8.56,7.95,12153652.92
20150428,8.7,8.67,9.27,8.47,26386251.12
20150429,8.5,8.31,8.5,8.12,11541517.28
20150430,8.29,8.12,8.36,8.07,9236902.01
20150504,8.08,8.16,8.21,7.91,7338612.39
20150505,8.2,7.92,8.56,7.9,10294758.66
20150506,7.86,7.75,8.1,7.63,7419459.68
20150507,7.7,7.49,7.74,7.45,5796565.71
20150508,7.56,7.58,7.59,7.35,5960090.2
20150511,7.57,7.73,7.74,7.47,7218897.02
20150512,7.75,7.76,7.8,7.67,5818537.81
20150513,7.75,7.54,7.75,7.49,6355234.11
20150514,7.48,7.61,7.7,7.36,6439404.56
20150515,7.52,7.31,7.56,7.27,5306551.25
20150518,7.22,7.12,7.24,7.08,4452596.96
20150519,7.09,7.35,7.36,7.08,5186353.14
20150520,7.35,7.31,7.45,7.29,5295839.59
20150521,7.32,7.32,7.34,7.17,4337751.2
20150522,7.39,7.64,7.66,7.36,7936398.77
20150525,7.64,7.9,7.93,7.59,8408711.73
20150526,7.95,7.94,7.98,7.74,7642287.85
20150527,7.94,8.1,8.16,7.91,8596645.66
20150528,8.06,7.34,8.06,7.29,10919792.43
20150529,7.31,7.21,7.4,7.08,6643065.73
20150601,7.21,7.5,7.51,7.16,5690802.98
20150602,7.48,7.5,7.52,7.34,5850285.37
20150603,7.5,7.47,7.63,7.39,5231821.82
20150604,7.47,7.62,7.64,7.2,7318164.76
20150605,7.7,7.77,7.8,7.58,9452307.9
20150608,7.8,8.17,8.22,7.72,13034367.87
20150609,8.1,8.03,8.12,7.9,9817863.86
20150610,7.96,7.94,8.0,7.88,6250936.13
20150611,7.95,7.86,7.95,7.77,5428890.22
20150612,7.88,7.9,7.94,7.81,5941556.96
20150615,7.92,7.71,7.99,7.7,6510547.29
20150616,7.61,7.44,7.67,7.36,5533099.62
20150617,7.49,7.6,7.63,7.37,4310814.24
20150618,7.55,7.32,7.63,7.3,4439241.61
