date,open,close,high,low,volume
2018-02-12,94.48,113.37,113.37,94.48,10629.3
2018-02-13,112.98,102.03,112.98,102.03,78459.83
2018-02-14,91.83,96.12,104.2,91.83,170186.77
2018-02-22,93.0,91.13,94.18,88.0,129208.7
2018-02-23,89.96,90.31,92.95,89.01,91362.52
2018-02-26,91.8,91.43,92.49,90.3,91074.4
2018-02-27,90.5,88.55,90.5,88.05,97156.24
2018-02-28,86.0,81.9,86.04,81.6,118815.6
2018-03-01,80.5,82.32,83.44,80.1,74013.45
2018-03-02,81.39,80.96,82.99,80.8,55817.76
2018-03-05,80.8,81.13,81.55,80.02,57719.15
2018-03-06,81.05,82.08,83.3,80.6,65152.68
2018-03-07,81.5,80.78,82.1,80.52,48576.56
2018-03-08,80.2,80.99,81.5,80.1,40435.49
2018-03-09,80.88,82.45,82.98,80.81,67187.6
2018-03-12,82.76,85.04,86.35,81.65,80699.71
2018-03-13,84.08,82.53,84.58,82.51,57404.43
2018-03-14,82.03,82.93,84.2,81.92,44577.1
2018-03-15,82.21,80.09,82.7,78.72,65340.96
2018-03-16,80.9,79.82,81.47,79.7,40422.32
2018-03-19,79.35,80.67,81.44,78.73,44892.58
2018-03-20,79.74,79.79,80.28,79.0,31952.15
2018-03-21,79.97,79.0,80.89,78.89,32944.68
2018-03-22,79.35,77.99,79.5,77.89,39107.54
2018-03-23,75.0,70.18,75.1,70.17,62933.24
2018-03-26,68.6,68.92,69.57,65.52,40554.83
2018-03-27,69.35,71.71,73.38,69.35,49885.71
2018-03-28,70.5,70.0,71.19,69.74,26729.61
2018-03-29,70.38,71.9,72.47,70.38,35512.12
2018-03-30,72.0,72.01,72.75,71.39,25227.9
2018-04-02,74.31,72.65,75.5,72.22,33798.28
2018-04-03,71.0,70.63,71.48,70.11,23217.46
2018-04-04,70.91,76.23,77.67,70.9,86840.36
2018-04-09,75.06,76.82,77.88,74.66,48948.82
2018-04-10,76.88,79.06,81.81,76.83,53245.73
2018-04-11,79.0,77.99,80.5,77.81,32783.03
2018-04-12,77.58,80.91,81.32,77.33,43636.42
