date,open,close,high,low,volume
2017-01-23,3359.05,3364.08,3378.74,3355.85,755575.0
2017-01-24,3363.14,3364.45,3371.32,3355.9,661942.25
2017-01-25,3361.66,3375.9,3376.44,3357.22,583769.31
2017-01-26,3378.26,3387.96,3395.88,3378.26,653166.5
2017-02-03,3390.93,3364.49,3392.48,3362.57,551888.62
2017-02-06,3368.11,3373.21,3381.33,3358.75,685213.62
2017-02-07,3371.77,3365.68,3376.71,3354.63,637544.62
2017-02-08,3361.78,3383.29,3383.69,3347.43,754028.81
2017-02-09,3381.9,3396.29,3406.59,3379.79,975585.12
2017-02-10,3398.32,3413.49,3422.33,3398.03,1237687.25
2017-02-13,3416.92,3436.28,3439.54,3416.87,1201445.38
2017-02-14,3438.51,3435.8,3440.67,3424.4,948094.62
2017-02-15,3435.39,3421.71,3448.03,3417.08,1276433.38
2017-02-16,3421.83,3440.93,3440.93,3418.35,1082769.62
2017-02-17,3443.62,3421.44,3457.56,3419.61,1146000.38
2017-02-20,3421.64,3471.39,3472.6,3421.64,1326288.62
2017-02-21,3475.06,3482.82,3490.09,3472.02,1148420.12
2017-02-22,3483.2,3489.76,3489.95,3473.52,1028159.94
2017-02-23,3487.57,3473.32,3492.96,3460.12,995363.31
2017-02-24,3468.96,3473.85,3473.85,3455.25,955351.31
2017-02-27,3471.13,3446.22,3472.84,3441.39,986721.62
2017-02-28,3445.03,3452.81,3460.91,3441.36,752152.62
2017-03-01,3452.21,3458.44,3472.7,3449.11,1032603.56
2017-03-02,3463.48,3435.1,3468.47,3434.0,898980.75
2017-03-03,3424.66,3427.86,3428.88,3412.83,809946.5
2017-03-06,3427.25,3446.48,3449.03,3425.9,830708.81
2017-03-07,3446.16,3453.96,3454.04,3440.06,803347.19
2017-03-08,3452.2,3448.73,3457.04,3441.26,795876.88
2017-03-09,3442.9,3426.94,3443.05,3414.68,845703.81
2017-03-10,3423.98,3427.89,3436.24,3423.94,700162.0
2017-03-13,3425.67,3458.1,3458.1,3412.69,916841.25
2017-03-14,3456.66,3456.69,3465.39,3448.9,770779.62
2017-03-15,3452.21,3463.64,3463.92,3445.27,791049.56
2017-03-16,3472.27,3481.51,3492.13,3472.27,1063339.12
2017-03-17,3485.31,3445.81,3488.5,3441.47,1037555.62
2017-03-20,3449.05,3449.61,3454.06,3429.83,887343.25
2017-03-21,3449.77,3466.35,3466.7,3445.64,877078.56
2017-03-22,3450.75,3450.05,3464.33,3433.5,1049359.0
2017-03-23,3452.41,3461.98,3470.82,3435.69,943180.62
2017-03-24,3464.2,3489.6,3499.32,3461.11,1256458.38
